id,name,state,stars,reviews,yelp_category
_id_27zlxlmlQu9KBr5Vj4MGeg,Pickles & Swiss,CA,4.5,790,American
_id_04l8PYcuYQeEkEhJCbhtOA,Ruby Slipper Cafe,LA,4.5,788,American
_id_Fs4T7lKpXVtD5Pz7jWSJeg,Coquette,LA,4.5,784,American
_id_zbrIMldF_O1ZQ0vpUaaa8A,Bluewater Grill - Santa Barbara,CA,4,768,American
_id_jXrhIVKcJ-upvglUmfC1pA,Clover Grill,LA,3.5,768,Burgers
_id_m4kvY0viCwxqRtgOycnKVQ,Mony's Mexican Food,CA,4.5,768,Mexican
_id_zWfzgYe2nT9mHYm_vl1Ukw,Mopho,LA,4,767,American
_id_v1Uesklh8DpEufYOhTq4iA,Mar Monte Hotel - Hyatt,CA,2.5,767,Other
_id_UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,CA,4,761,Bakeries
_id_oDETvkVkHw7CjZj7ZOZFOQ,Cajun,LA,4,757,Bars
_id_M2h3vq8WeSiQAmyJtrPvbQ,Emeril's Delmonico,LA,4,751,American
_id_q6hWVlVeiCgMgM22wt1wfw,The Company Burger,LA,4,748,Burgers
_id_TzkVUJab9Sh0CqDk2sCF-w,Bayona,LA,4,746,American
_id_WNhcS2zi4zAqA2TbduVINQ,Cleo's,LA,4,746,Mediterranean
_id_R9TBf8VqGQ83kvdIxkC9RQ,Other,LA,3.5,742,Sandwitches
_id_iBBV8vesQ8fo2IQA7an1JA,Jane,CA,4,733,American
_id_CkENBnSJFfPA1hY0qrqfCg,Carlitos Cafe Y Cantina,CA,3.5,731,Mexican
_id_RGXb-3iUuaORNWB_nt_RcQ,Other,LA,4.5,730,Seafood
_id_BuQGsltd3B4L_HRCP2jpTQ,Other,LA,4,725,Other
_id_jQPg8OKiSVa-fwvd-XGzLQ,Evangeline,LA,4,719,American
_id_oe-iacnzvyHV8zxaNqCf7A,Other,LA,4,718,Breakfast
_id_H5KRna9A6mDQEJ2ZN0zL6g,La Petite Grocery,LA,4,715,American
_id_H41S-qS3NOUJSbIqWTuyIA,Paddlewheeler Creole Queen,LA,4,713,Cajun
_id_4e9tguRcMc4S5hzBlfC62A,The Farm and Fisherman Tavern,NJ,4,709,American
_id_nB7LcJIvZr-EbJj4oFZf-A,Daisy Dukes Express,LA,4,707,American
_id_hPd6uMCjNglnOwwHpkY5Tg,Felipe's Mexican Taqueria - French Quarter,LA,3.5,705,Mexican
_id_wVrJOXjRrPKIfZbNnrl3ow,Pizza Delicious,LA,4,678,Italian
_id_zljfjg_zTL3ceGi_Vr4OFw,Sheraton New Orleans Hotel,LA,3,673,Cajun
_id_stqWlKEgXweNQSsxOsHjVA,Mahony's Po-Boys & Seafood  - Uptown,LA,3.5,671,American
_id_OSi2ColCxhS9oCoAUNbPig,Other,LA,4,669,Cajun
_id_NHdE_ObFj7OjQBB3jjqBNQ,Other,LA,4,666,Cajun
_id_SBtjW_pKw3XaOKtKAavWZg,Maïs Arepas,LA,4.5,665,American
_id_OIbh0ZOemmphJR4Att3E6A,Doris Metropolitan,LA,4.5,659,American
_id_LkCFcD-5QyNIUnEfO78npw,Chartres House,LA,3.5,655,Seafood
_id_Trbe4JX-oLHrrVVPcv0wog,Broussard's,LA,4,653,Seafood
_id_UbFkHiEt9S-0mUL3RQ5Ghg,Turkey and the Wolf,LA,4.5,652,Bars
_id_dpqDfbNpcIERkXVoE5S9Wg,Other,LA,2.5,651,American
_id_OINbC0rpDVJ5bfxt3LO9fw,Li'l Dizzy's Cafe,LA,4.5,651,Cajun
_id_5Jta7dTc7lteIyeMfLUJWQ,Corner Oyster House,LA,2.5,651,Seafood
_id_onp9X_9RRAEzA-yqdiSOcA,The Jug Handle Inn,NJ,4,604,American
_id_UQMUtySn2q9cSObiw5UVsw,The Pop Shop - Collingswood,NJ,3.5,603,American
_id_RTwDv2oLE3gzAZlf63OPXA,Other,NJ,3.5,603,Bars
_id_i76ERS3jM111T3VMbi2yrQ,Sagami,NJ,4.5,584,American
_id_nwN92Uje-xIKE5voPTTvBQ,BEAST Craft BBQ,IL,4.5,583,Bars
_id_kQRB8RNwd7cEMcURTS-I7A,Sabrina's Café,NJ,4,570,American
_id_lNsnmur2Df2oK9ywyY0H3g,Other,NJ,4,563,Mexican
_id_3wghyH3V0jmAQKOnBTdrUQ,Woodside Farm Creamery,DE,4.5,192,Other
_id_OlOVRlcEstxKK_6hMjy63A,Hollywood Grill,DE,3.5,190,Other
_id_YdpDpp130fxiX2DUdQLSqg,Bardea Food & Drink,DE,4.5,181,Italian
_id_jVJH1KfitQi87MYMh6vyMg,Anthony's Coal Fired Pizza,DE,4,119,Italian
_id_MZW_eTFYFBvHYg5OFqDRCA,Red Robin Gourmet Burgers and Brews,DE,3,118,American
_id_uoMWvXch6sWnI9FMsE_-Vg,Cafe Napoli Restaurant & Pizzeria,DE,4,114,Italian
_id_iCfB58Cvb_rw_SDAgPXLfA,Russell's Quality Food,DE,4.5,103,Burgers
