business_id,name,state,stars,reviews,yelp_category
biz_id_0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,CA,4.5,1018,American
biz_id_3db1R99-mdSvx3QwryJSNQ,The Camellia Grill,LA,4,1007,American
biz_id_OCzo8T-76iJ_QVB2UX5SEQ,Killer Poboys,LA,4,1006,American
biz_id_9OCsSHr6OCSyR91BFIbszQ,Other,LA,3.5,997,Seafood
biz_id_nYPzsOjvida-ne7swSPHpA,Santo Mezcal,CA,4.5,990,American
biz_id_8Vo6LN9gqULhXzoxj5k6kQ,The Black Sheep,CA,4.5,983,American
biz_id_g-IXI3v3fOudMsyLPKb-eQ,Ruby Slipper Cafe,LA,4,983,American
biz_id_BHnCAV4_hgqgNZGdfXNJkA,Cajun,LA,4,981,Seafood
biz_id_U2hkeMI-q4cS35QolJYN0A,Arigato Sushi,CA,4,980,Asian Fusion
biz_id_Z4PF4EtM12L7nwOHZHFJNA,Seed,LA,4,967,American
biz_id_NIQWO-Q_F598XlAvZnFVCA,Eureka!,CA,4,961,American
biz_id_CoZ2mpsMBP8HUG1ymKoZTg,Other,CA,4,954,American
biz_id_ECOUuwE5H1HHE8xBfNAjFg,Crescent City Brewhouse,LA,3.5,929,American
biz_id_GSOLNXG5-IPvNj0DPf3kOQ,Irene's,LA,4.5,920,Italian
biz_id_KSYONgGtrK0nKXfroB-bwg,Loquita,CA,4.5,914,Seafood
biz_id_3wo9jODQnuvBm8Gkem6qXg,Ruby Slipper Cafe,LA,4,904,American
biz_id__LgI5387qAmMuS8i6h69cg,Meril,LA,4,900,American
biz_id_thlyktt2c7v1DyOpSVSibw,Scarlett Begonia,CA,4,897,American
biz_id_8eDkw7CE0NKqMknPIu26fw,Two Chicks Cafe,LA,4.5,888,American
biz_id_mRpk0A4u0hnF0lNe1h4hGg,Bearcat Cafe,LA,4.5,886,Vegan
biz_id_1FURjeGJi_LBXcJQg8eskw,Padaro Beach Grill,CA,4.5,885,American
biz_id_FkmUQqJCjgAYSlckQL0umw,Cajun,LA,4,881,American
biz_id_ZTctPm8-lBy0iJ9dFhYhyQ,Herbsaint,LA,4,879,Seafood
biz_id_Cbktlvci_z4HwdqPUW-5cg,Cafe Maspero,LA,3,873,Seafood
biz_id_jar_5KMQZtgOseRdUN3L0w,Sucré,LA,4,872,Bakeries
biz_id_MJI-bNIn3QDgiGggm9Wp1w,Other,CA,3,871,American
biz_id_yE6aDcbbK8pmvNroXnQYQA,Other,LA,4.5,866,Sandwitches
biz_id_e1WJ1qcgF2TBkoYzopeTgQ,Adolfo's,LA,4,863,Italian
biz_id_tf6S06LD09IFDHUpOPqPaw,East Beach Tacos,CA,4.5,856,American
biz_id_oCbJpGl8IkH1WdYa25TDBA,Morrow's,LA,4,831,Seafood
biz_id_5vObJIHLO-QOMrw_MvC4rA,The Worker Bee Cafe,CA,4,828,American
biz_id_60PRpOidld9weYzjWwlMaQ,Meals From The Heart Cafe,LA,4.5,819,American
biz_id_swVdc9piXvG0AXwL-F0GfQ,Other,LA,4.5,819,American
biz_id_f3eve2cxUIzyanWnHdMtFQ,Corazon Cocina,CA,4.5,813,American
biz_id_MbzgGsMQpGyVrUJXi_Jw0Q,Dawn Patrol,CA,4,807,American
biz_id_vj6AetpADpHOYtMRZsXX3g,Los Agaves,CA,4,807,American
biz_id_I0I2mkCOPTYVSLpc8A8VVw,Compère Lapin,LA,4.5,804,American
biz_id_CG1Bb2MTraJYTHCPFm72XA,Red Dog Diner,LA,4.5,800,American
biz_id__h94BxrrFKPvzUIRx3Xkhg,Saints And Sinners,LA,3.5,796,Seafood
biz_id_AhVvuzwWQU__CligbY4r0Q,Juan's Flying Burrito,LA,4,794,Mexican
biz_id_ecI3FBTM0f99Fnml3kNKfg,Other,LA,3.5,792,Cajun
biz_id_YvrV_Tc9syF2Wch0HOIT3A,Flamingo A-Go-Go,LA,3.5,791,American
biz_id_27zlxlmlQu9KBr5Vj4MGeg,Pickles & Swiss,CA,4.5,790,American
biz_id_04l8PYcuYQeEkEhJCbhtOA,Ruby Slipper Cafe,LA,4.5,788,American
biz_id_Fs4T7lKpXVtD5Pz7jWSJeg,Coquette,LA,4.5,784,American
biz_id_zbrIMldF_O1ZQ0vpUaaa8A,Bluewater Grill - Santa Barbara,CA,4,768,American
biz_id_jXrhIVKcJ-upvglUmfC1pA,Clover Grill,LA,3.5,768,Burgers
biz_id_m4kvY0viCwxqRtgOycnKVQ,Mony's Mexican Food,CA,4.5,768,Mexican
biz_id_zWfzgYe2nT9mHYm_vl1Ukw,Mopho,LA,4,767,American
biz_id_v1Uesklh8DpEufYOhTq4iA,Mar Monte Hotel - Hyatt,CA,2.5,767,Other
biz_id_UuRZpgZsHX7PyykHV3wbZg,Crushcakes & Cafe,CA,4,761,Bakeries
biz_id_oDETvkVkHw7CjZj7ZOZFOQ,Cajun,LA,4,757,Bars
biz_id_M2h3vq8WeSiQAmyJtrPvbQ,Emeril's Delmonico,LA,4,751,American
biz_id_q6hWVlVeiCgMgM22wt1wfw,The Company Burger,LA,4,748,Burgers
biz_id_TzkVUJab9Sh0CqDk2sCF-w,Bayona,LA,4,746,American
biz_id_WNhcS2zi4zAqA2TbduVINQ,Cleo's,LA,4,746,Mediterranean
biz_id_R9TBf8VqGQ83kvdIxkC9RQ,Other,LA,3.5,742,Sandwitches
biz_id_iBBV8vesQ8fo2IQA7an1JA,Jane,CA,4,733,American
biz_id_CkENBnSJFfPA1hY0qrqfCg,Carlitos Cafe Y Cantina,CA,3.5,731,Mexican
biz_id_RGXb-3iUuaORNWB_nt_RcQ,Other,LA,4.5,730,Seafood
biz_id_BuQGsltd3B4L_HRCP2jpTQ,Other,LA,4,725,Other
biz_id_jQPg8OKiSVa-fwvd-XGzLQ,Evangeline,LA,4,719,American
biz_id_oe-iacnzvyHV8zxaNqCf7A,Other,LA,4,718,Breakfast
biz_id_H5KRna9A6mDQEJ2ZN0zL6g,La Petite Grocery,LA,4,715,American
biz_id_H41S-qS3NOUJSbIqWTuyIA,Paddlewheeler Creole Queen,LA,4,713,Cajun
biz_id_4e9tguRcMc4S5hzBlfC62A,The Farm and Fisherman Tavern,NJ,4,709,American
biz_id_nB7LcJIvZr-EbJj4oFZf-A,Daisy Dukes Express,LA,4,707,American
biz_id_hPd6uMCjNglnOwwHpkY5Tg,Felipe's Mexican Taqueria - French Quarter,LA,3.5,705,Mexican
biz_id_wVrJOXjRrPKIfZbNnrl3ow,Pizza Delicious,LA,4,678,Italian
biz_id_zljfjg_zTL3ceGi_Vr4OFw,Sheraton New Orleans Hotel,LA,3,673,Cajun
biz_id_stqWlKEgXweNQSsxOsHjVA,Mahony's Po-Boys & Seafood  - Uptown,LA,3.5,671,American
biz_id_OSi2ColCxhS9oCoAUNbPig,Other,LA,4,669,Cajun
biz_id_NHdE_ObFj7OjQBB3jjqBNQ,Other,LA,4,666,Cajun
biz_id_SBtjW_pKw3XaOKtKAavWZg,Maïs Arepas,LA,4.5,665,American
biz_id_OIbh0ZOemmphJR4Att3E6A,Doris Metropolitan,LA,4.5,659,American
biz_id_LkCFcD-5QyNIUnEfO78npw,Chartres House,LA,3.5,655,Seafood
biz_id_Trbe4JX-oLHrrVVPcv0wog,Broussard's,LA,4,653,Seafood
biz_id_UbFkHiEt9S-0mUL3RQ5Ghg,Turkey and the Wolf,LA,4.5,652,Bars
biz_id_dpqDfbNpcIERkXVoE5S9Wg,Other,LA,2.5,651,American
biz_id_OINbC0rpDVJ5bfxt3LO9fw,Li'l Dizzy's Cafe,LA,4.5,651,Cajun
biz_id_5Jta7dTc7lteIyeMfLUJWQ,Corner Oyster House,LA,2.5,651,Seafood
biz_id_onp9X_9RRAEzA-yqdiSOcA,The Jug Handle Inn,NJ,4,604,American
biz_id_UQMUtySn2q9cSObiw5UVsw,The Pop Shop - Collingswood,NJ,3.5,603,American
biz_id_RTwDv2oLE3gzAZlf63OPXA,Other,NJ,3.5,603,Bars
biz_id_i76ERS3jM111T3VMbi2yrQ,Sagami,NJ,4.5,584,American
biz_id_nwN92Uje-xIKE5voPTTvBQ,BEAST Craft BBQ,IL,4.5,583,Bars
biz_id_kQRB8RNwd7cEMcURTS-I7A,Sabrina's Café,NJ,4,570,American
biz_id_lNsnmur2Df2oK9ywyY0H3g,Other,NJ,4,563,Mexican
biz_id_3wghyH3V0jmAQKOnBTdrUQ,Woodside Farm Creamery,DE,4.5,192,Other
biz_id_OlOVRlcEstxKK_6hMjy63A,Hollywood Grill,DE,3.5,190,Other
biz_id_YdpDpp130fxiX2DUdQLSqg,Bardea Food & Drink,DE,4.5,181,Italian
biz_id_jVJH1KfitQi87MYMh6vyMg,Anthony's Coal Fired Pizza,DE,4,119,Italian
biz_id_MZW_eTFYFBvHYg5OFqDRCA,Red Robin Gourmet Burgers and Brews,DE,3,118,American
biz_id_uoMWvXch6sWnI9FMsE_-Vg,Cafe Napoli Restaurant & Pizzeria,DE,4,114,Italian
biz_id_iCfB58Cvb_rw_SDAgPXLfA,Russell's Quality Food,DE,4.5,103,Burgers
