id,reviews,stars,yelp_category,state
_id_4gszBjoouIzfi1ltSQZ2BQ,1086,4,American,FL
_id_6EizP0XyqITuGZ8GZMI9Lw,1084,4.5,American,CA
_id_JvawJ9bSr22xn4R9oLvl_w,1084,4,Seafood,LA
_id_Meww6RIE4cFL_kG0aRlbAA,1077,4.5,Bars,LA
_id_CziOtnFSklimJnBgksDDwA,1069,3.5,Italian,CA
_id_I6L0Zxi5Ww0zEWSAVgngeQ,1066,3.5,Sandwitches,LA
_id_zT2OzXDWKK1abapHs2RUrQ,1060,4.5,American,FL
_id_uR7G8I4Cef9D9R340TN24Q,1059,4,American,LA
_id_KlZvP_k_VEJV0G-6tTqnqQ,1053,3.5,Seafood,LA
_id_EZc2myE2mYk2h9JK9qu8gw,1047,4.5,American,CA
_id_eCikDKFbaeYVNdCD2beX0Q,1038,4,American,LA
_id_0qu0fNTOsSmuREYVIMPuIQ,1018,4.5,American,CA
_id_5fSPNlVUBGMExOy9lgFn0A,1017,4,American,FL
_id_c0F9yKr0bJuQDtG1lzDgmQ,1013,4.5,American,FL
_id_cmvseNCdevDdxbxlz3KkWw,1008,4.5,American,FL
_id_3db1R99-mdSvx3QwryJSNQ,1007,4,American,LA
_id_OCzo8T-76iJ_QVB2UX5SEQ,1006,4,American,LA
_id_9OCsSHr6OCSyR91BFIbszQ,997,3.5,Seafood,LA
_id_ezB8e2rijjViprrcTdIiQQ,995,4,Seafood,FL
_id_RRCgIohWjaeGtlbpcYJBbw,992,4.5,American,FL
_id_nYPzsOjvida-ne7swSPHpA,990,4.5,American,CA
_id_8Vo6LN9gqULhXzoxj5k6kQ,983,4.5,American,CA
_id_g-IXI3v3fOudMsyLPKb-eQ,983,4,American,LA
_id_BHnCAV4_hgqgNZGdfXNJkA,981,4,Seafood,LA
_id_U2hkeMI-q4cS35QolJYN0A,980,4,Asian Fusion,CA
_id_V2xSuNLZb6QAb7GdNkI3rg,969,4.5,Breakfast,FL
_id_Z4PF4EtM12L7nwOHZHFJNA,967,4,American,LA
_id_ZfOS7Mz-iGseNxBhlhXm_w,965,3.5,American,FL
_id_k-tHn9uxgWdq1ROHqwc-lw,965,4.5,Seafood,FL
_id_NIQWO-Q_F598XlAvZnFVCA,961,4,American,CA
_id_z_7TZeTXsDH6MmkPHQN8nQ,961,4,American,FL
_id_CoZ2mpsMBP8HUG1ymKoZTg,954,4,American,CA
_id_QA8QLpwf_YT9C2ST5YJ0vw,954,3.5,Cajun,LA
_id_b7V_5q22_eTeHlYzq1bpFw,954,4,Seafood,LA
_id_C26xmwM2_OgJJi2BbL3KkQ,954,4,Seafood,LA
_id_oFbwMxqaCJfIzAEmwaXD3Q,944,4,Mexican,LA
_id_yoQBK3OUDqWEFoUDE5lM4w,938,3,Cajun,LA
_id__MWbuRiTqbWEjlfxRAvzWQ,936,4.5,Pizza,FL
_id_ECOUuwE5H1HHE8xBfNAjFg,929,3.5,American,LA
_id_GSOLNXG5-IPvNj0DPf3kOQ,920,4.5,Italian,LA
_id_KSYONgGtrK0nKXfroB-bwg,914,4.5,Seafood,CA
_id_5SbXk54zWe22jg95R-8Fjw,908,4.5,American,FL
_id_hXvf5a798WvQtFn0Zbh2yw,908,3.5,American,FL
_id_UnBs9SfFGQ7TpE_3uYIqfg,908,4,Seafood,FL
_id_H5Rk-aunuEzGANXCBu-NPQ,907,4,Mexican,FL
_id_3wo9jODQnuvBm8Gkem6qXg,904,4,American,LA
_id_TNTBObKmICMn13T0pyAGyg,904,4,Italian,FL
_id__LgI5387qAmMuS8i6h69cg,900,4,American,LA
_id_thlyktt2c7v1DyOpSVSibw,897,4,American,CA
_id_8eDkw7CE0NKqMknPIu26fw,888,4.5,American,LA
_id_mRpk0A4u0hnF0lNe1h4hGg,886,4.5,Vegan,LA
_id_1FURjeGJi_LBXcJQg8eskw,885,4.5,American,CA
_id_FkmUQqJCjgAYSlckQL0umw,881,4,American,LA
_id_ZTctPm8-lBy0iJ9dFhYhyQ,879,4,Seafood,LA
_id_yb2vAoH3E-R11yWmnT570w,875,3.5,Mexican,FL
_id_Cbktlvci_z4HwdqPUW-5cg,873,3,Seafood,LA
_id_jar_5KMQZtgOseRdUN3L0w,872,4,Bakeries,LA
_id_MJI-bNIn3QDgiGggm9Wp1w,871,3,American,CA
_id_yE6aDcbbK8pmvNroXnQYQA,866,4.5,Sandwitches,LA
_id_6-ixjryKFrCgue3JaHnvXQ,864,4.5,American,FL
_id_e1WJ1qcgF2TBkoYzopeTgQ,863,4,Italian,LA
_id_tf6S06LD09IFDHUpOPqPaw,856,4.5,American,CA
_id_wIz_tZ88bj4W3VlrJTiiqQ,848,4,American,FL
_id_lqyYsXBAO6cVGR0cPCeydg,845,4,American,FL
_id_X0vPZIkbUj22afBQz5-neA,839,3.5,American,FL
_id_XF2SR4yNnIOGRGH9goofuA,834,3.5,American,FL
_id_9b-LZWsj75mmfMYuChXDkg,833,4,American,FL
_id_oCbJpGl8IkH1WdYa25TDBA,831,4,Seafood,LA
_id_5vObJIHLO-QOMrw_MvC4rA,828,4,American,CA
_id_cd-rz-piYMftZtbFU82x8g,825,4.5,American,FL
_id_Dzm1y59cLFt8OjTsZRUC6w,822,4,Seafood,FL
_id_60PRpOidld9weYzjWwlMaQ,819,4.5,American,LA
_id_swVdc9piXvG0AXwL-F0GfQ,819,4.5,American,LA
